"Data,""1.OrgUnit Ownership"",""2.OrgUnit Type(Level of Care)"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Albasu Local Government Area"",""kn Albasu Ward"",""kn Jigar Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Sumaila Local Government Area"","""",""kn Magami Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Danbatta Local Government Area"",""kn Gwarabjawa Ward"",""kn Mai Ganji Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Danbatta Local Government Area"","""",""kn Danbatta West Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Danbatta Local Government Area"",""kn Goron Maje Ward"",""kn Goron Maje Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kumbotso Local Government Area"",""kn Danbare Ward"",""kn Gwazaye Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Rano Local Government Area"",""kn Lausu Ward"",""kn Lausu Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kura Local Government Area"","""",""kn Gundutse Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Ungogo Local Government Area"",""kn Karo Ward"",""kn Bagujan Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bebeji Local Government Area"",""kn Durmawa Ward"",""kn Danbubu Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gezawa Local Government Area"",""kn Jogana Ward"",""kn Jogana Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bebeji Local Government Area"",""kn Gwarmai Ward (Bebeji)"",""kn Taimako Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Takai Local Government Area"","""",""kn Zuga Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kiru Local Government Area"",""kn Bargoni Ward"",""kn Acilafiya Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Albasu Local Government Area"",""kn Daho Ward"",""kn Zuwan Hawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gezawa Local Government Area"",""kn Ketawa Ward"",""kn Gezawa General Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gwarzo Local Government Area"","""",""kn Unguwar Tudu Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Karaye Local Government Area"",""kn Daura Ward"",""kn Unguwar Tofa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Tofa Local Government Area"","""",""kn Dawakin West Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Garum Mallam Local Government Area"","""",""kn Jobawa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Rano Local Government Area"",""kn Rurum TSohun Gari Ward"",""kn Sabuwar Kaura Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Bichi Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kumbotso Local Government Area"",""kn Unguwar Rimi Ward (KBT)"",""kn Dangwaro Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kiru Local Government Area"","""",""kn Ba'awa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gaya Local Government Area"","""",""kn Gamoji Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Karaye Local Government Area"",""kn Yammedi Ward"",""kn Dederi Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bichi Local Government Area"",""kn Fagwalo Ward"",""kn Kungu Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kano Municipal Local Government Area"",""kn She-She Ward"",""kn Marmara Maternal Child Health "",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Danbatta Local Government Area"",""kn Saidawa Ward"",""kn Dalal Health Clinic (Danba)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Warawa Local Government Area"",""kn Tamburawar Gabas Ward"",""kn Tamburawa Yandadi Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gaya Local Government Area"",""kn Shagogo Ward"",""kn Fagachi Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kano Municipal Local Government Area"",""kn Gandun Albasa Ward"",""kn Tukuntawa Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kano Municipal Local Government Area"",""kn Dan Agundi Ward"",""kn Dan Agundi Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Kudu Local Government Area"",""kn Danbabina Ward"",""kn Runa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Doguwa Local Government Area"",""kn Ragada Ward"",""kn Dadin-Kowa Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Sumaila Local Government Area"",""kn Gediya Ward"",""kn B/Lahadi Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tsanyawa Local Government Area"",""kn Yanganau Ward"",""kn Yangana Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kiru Local Government Area"",""kn Kogo Ward"",""kn Kogo Model Primary Health Centre (KKU)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gwarzo Local Government Area"","""",""kn Getso Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Ungogo Local Government Area"","""",""kn Karo Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bichi Local Government Area"",""kn Bichi Ward"",""kn Bichi Excellence Hospital & Maternity Service"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Fagge Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kunchi Local Government Area"",""kn Ridawa Ward"",""kn Ridawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Doguwa Local Government Area"",""kn Maraku Ward"",""kn Yalwan Danmusa Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Minjibir Local Government Area"",""kn Minjibir Ward"",""kn Minjibir General Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tsanyawa Local Government Area"",""kn Tatsan Ward"",""kn Yargwande Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Sumaila Local Government Area"",""kn Magami Ward"",""kn Magami Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Danbatta Local Government Area"",""kn Gwarabjawa Ward"",""kn Bolloda Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Kudu Local Government Area"","""",""kn Tsakuwa Ward (DKD)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dala Local Government Area"","""",""kn Dogon Nama Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gezawa Local Government Area"",""kn Gezawa Ward"",""kn Gezawa Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kiru Local Government Area"",""kn Bargoni Ward"",""kn Bargoni Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bunkure Local Government Area"",""kn Gafon Ward"",""kn Danbala Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bebeji Local Government Area"",""kn Gwarmai Ward (Bebeji)"",""kn Gwarmai Primary Health Centre (BBJ)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gwarzo Local Government Area"",""kn Madadi Ward"",""kn Madadi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kibiya Local Government Area"",""kn Kibiya 2 Ward"",""kn Kabiru Gaya Model Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Rano Local Government Area"",""kn Saji Ward"",""kn Saji Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Doguwa Local Government Area"","""",""kn Doguwa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Makoda Local Government Area"",""kn Tangaji Ward"",""kn Bakarari Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Dala Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bunkure Local Government Area"",""kn Bunkure Ward"",""kn Sabon Garin Kuruma Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Kudu Local Government Area"",""kn Tsakuwa Ward (DKD)"",""kn Tsakuwa Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gaya Local Government Area"",""kn Balan Ward"",""kn Balan Model Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bebeji Local Government Area"","""",""kn Gwarmai Ward (Bebeji)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kura Local Government Area"",""kn Kosawa Ward"",""kn Imawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bagwai Local Government Area"","""",""kn Dangada Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Fagge Local Government Area"","""",""kn Sabon Gari West Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kabo Local Government Area"",""kn Gammo Ward"",""kn Fagore Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tsanyawa Local Government Area"",""kn Dumbulum Ward"",""kn Dumbulum Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gabasawa Local Government Area"",""kn Mekiya Ward"",""kn Badawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kura Local Government Area"",""kn Rugar Duka Ward"",""kn Godar Ali Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Sumaila Local Government Area"",""kn Rimi Ward"",""kn Rimi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tudun Wada Local Government Area"","""",""kn Shuwaki Ward (TWD)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kunchi Local Government Area"",""kn Gwarmai Ward"",""kn Gwarmai Primary Health Centre (KNC)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Fagge Local Government Area"",""kn Sabon Gari West Ward"",""kn Kano Infectious Diseases Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Albasu Local Government Area"",""96.6"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Makoda Local Government Area"",""kn Barbar Ruga Ward"",""kn Shantake Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gabasawa Local Government Area"",""kn Zakirai Ward"",""kn Tankarau Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dala Local Government Area"","""",""kn Dogon Nama Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Minjibir Local Government Area"","""",""kn Kwarkiya Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Ungogo Local Government Area"",""kn Fanisau Ward"",""kn Gera Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Minjibir Local Government Area"",""kn Kantama Ward"",""kn Gyaranya Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bebeji Local Government Area"",""kn Baguda Ward"",""kn Baguda Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Ungogo Local Government Area"",""kn Fanisau Ward"",""kn Yola Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Madobi Local Government Area"",""kn Kauran Mata Ward"",""kn Kauran Mata Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Ajingi Local Government Area"",""kn Gafasa Ward"",""kn Gafasa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Rogo Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Takai Local Government Area"",""kn Falali Ward"",""kn Kyansha Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tudun Wada Local Government Area"",""kn Baburi Ward"",""kn Baburi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Tofa Local Government Area"",""kn Jalli Ward"",""kn Dan Itace Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gwale Local Government Area"","""",""kn Diso Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Kudu Local Government Area"",""kn Dosan Ward"",""kn Kamagate Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Doguwa Local Government Area"","""",""kn Dishere Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Dawakin Tofa Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tsanyawa Local Government Area"",""kn Gozarki Ward"",""kn Tafashiya Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"","""","""","""",""kn Kano State"",""83.3"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gabasawa Local Government Area"",""kn Mekiya Ward"",""kn Mekiya Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Sumaila Local Government Area"",""kn Kanawa Ward"",""kn Dingamu Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Minjibir Local Government Area"",""kn Sarbi Ward"",""kn Gurjiya Health Clinic (MJB)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Nassarawa Local Government Area"",""kn Hotoro North Ward"",""kn Haye Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Rogo Local Government Area"",""kn Beli Ward"",""kn Beli Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Warawa Local Government Area"","""",""kn Warawa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Fagge Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tofa Local Government Area"",""kn Gajida Ward"",""kn Gajida Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Nassarawa Local Government Area"",""kn Tudun Murtala  Ward"",""kn Tudun Murtala Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bagwai Local Government Area"",""kn Gogori Ward"",""kn Gogori Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Kudu Local Government Area"",""kn Tamburawa Ward"",""kn Tamburawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Ajingi Local Government Area"",""kn Balare Ward"",""kn Tsabarawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bichi Local Government Area"",""kn Waire Ward"",""kn Waire Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tudun Wada Local Government Area"","""",""kn Burum Burum Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Danbatta Local Government Area"","""",""kn Fagwalawa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Tofa Local Government Area"",""kn Gargari Ward"",""kn Kunnawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Doguwa Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Rogo Local Government Area"",""kn Rogo Ruma Ward"",""kn Rogo Tsohuwa Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Minjibir Local Government Area"","""",""kn Tsakuwa Ward (MJB)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gwarzo Local Government Area"","""",""kn Lakwaya Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kabo Local Government Area"",""kn Gude Ward"",""kn Husure Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gaya Local Government Area"","""",""kn Wudilawa Gaya Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Garko Local Government Area"","""",""kn Dal Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tudun Wada Local Government Area"",""kn Karefa Ward"",""kn Yalwa Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Ajingi Local Government Area"",""kn Chula Ward"",""kn Kawari Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Rano Local Government Area"",""kn Rano Tsohuwar Gari Ward"",""kn Rano Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Sumaila Local Government Area"",""kn Massu Ward"",""kn Gomo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dala Local Government Area"",""kn Kofar Ruwa Ward"",""kn Dandinshe Model Primary Health Centre"",""100.0"""
