"Data,""1.OrgUnit Ownership"",""2.OrgUnit Type(Level of Care)"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"","""",""ko Aiyedayo Aiyedero Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"","""",""ko Obehira-Eba Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Lafia Obessa Ward"",""ko Okene Planned Parenthood of Nigeria Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ajaokuta Local Government Area"",""ko Geregu Ward"",""ko Emiworo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Enjema 3 Ward"",""ko Agbeneba Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Onyukoko Ward"",""ko Ado-Ogu Primary Health Care Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"",""ko Ogbabede Ward"",""ko Ajogwoni Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"",""ko Anyigba Ward"",""ko Anyingba Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Ankpa Township Ward"",""ko Mother and Child Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Bassa Local Government Area"",""ko Akuba 2 Ward"",""ko Odenyi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Enjema 3 Ward"",""ko Inye Maternity Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"","""",""ko Ejuku Ward 05"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"",""ko Odole 1 Ward"",""ko Okeguru Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Ajaka 1 Ward"",""ko Ibochi Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Ajaka 1 Ward"",""ko Uwuwo Primary Health Care Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ajaokuta Local Government Area"",""ko Ajaokuta Ward"",""ko KM 18 Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""ko Okedayo Ward"",""ko Kakun Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"","""",""ko Ere Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"",""ko Akpanyo Ward (Ibaji)"",""ko Enweli Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"",""ko Ojikpadala Ward"",""ko Ojuwo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"","""","""","""",""ko Kogi State"",""82.2"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"","""",""ko Ileteju 2 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"","""",""ko Ogwolawo 2 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Lokoja Ward A"",""ko Ali-Omeiza Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Eke-Avrugo Ward"",""ko Eke-Avrugo Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kogi Local Government Area"",""ko Gegu North Ward"",""ko Ahoko Primary Health Centre (Kogi)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kogi Local Government Area"","""",""ko Girinya Ward"",""66.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Okehi Local Government Area"",""95.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ajaokuta Local Government Area"",""ko Ebiya North Ward"",""ko Okuha Obanyi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"","""",""ko Ilare Igbolare Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Olamaboro Local Government Area"",""ko Efabo Ward"",""ko Ojoguche-Auji Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Okeneba Agassa Ward"",""ko Premier Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"",""Ko Ega Ward"",""ko Ubiga Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Onyukoko Ward"",""ko Esomi Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Okehi Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"",""ko Okoro Odokoro Araromi Ward"",""ko Araromi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kogi Local Government Area"",""ko Chikara North Ward"",""ko Omoko Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"",""ko Iyara Ward"",""ko LGA Staff Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"",""ko Aloji Ward"",""ko Igebije Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Bassa Local Government Area"",""ko Akakana Ayede Ward"",""ko Ayede Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"","""",""ko Odo-Ape Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Lokoja Ward A"",""Ko Lokoja Workers Village Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Olamaboro Local Government Area"",""ko Imane Ward"",""ko Ododa Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Ojoku 2 Ward"",""ko Okaba Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Ankpa Ward 1"",""ko Emekutu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Oworo Ward"",""ko Kungbari Comprehensive Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Olamaboro Local Government Area"",""ko Imane Ward"",""ko Abo-Ojuwo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Olamaboro Local Government Area"",""ko Efabo Ward"",""ko Etukwo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"","""",""ko Ojoku 3 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"",""ko Agbajogun Ward"",""ko Agbajogun Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"",""ko Ayegune Iluhafon Ward"",""ko Cottage Hospital Ayegunle"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"",""ko Iyamoye Igbopin Ward"",""ko General Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"","""",""ko Aredu Ward 10"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Bassa Local Government Area"",""ko Akakana Ayede Ward"",""ko Rivine Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"","""",""ko Idanuha Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Enjema 4 Ward"",""ko Agumagu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"","""",""ko Obehira-Uvete Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"",""ko Ugwoda Ward"",""ko Ugbetulu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"","""",""ko Kuroko 1 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Idoji Ward"",""Ko Adinoyi Clinic Inike"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"","""",""ko Dekina Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"","""",""ko Abocho Ward"",""55.6"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Ankpa Local Government Area"",""98.4"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Bariki Ward"",""ko Bariki Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Onyukoko Ward"",""ko Eyinnare Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"","""",""Ko Bolorunduro/Odoakete Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"","""",""ko Okunchi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"","""",""ko Asuta Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"",""ko Takete Otafun Ward"",""ko Otafun Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"","""",""ko Ekirin Ade Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okehi Local Government Area"",""ko Eika Ward"",""Ko Federal College Of Education Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Ankpa Ward 1"",""ko Ejegbo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okehi Local Government Area"","""",""ko Eika Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"",""ko Iyano Ward (Ibaji)"",""ko Adane Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"",""ko Ujeh Ward (Ibaji)"",""ko Ujeh Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kogi Local Government Area"",""ko Gegu North Ward"",""ko Adabo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""ko Olle/ Oke-Offin Ward"",""ko Oke-Offin Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Ojoku 2 Ward"",""ko Okpoku Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okehi Local Government Area"",""ko Obeiba 1 Ward"",""ko Amoto Maternity Home"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Bassa Local Government Area"",""ko Akuba 2 Ward"",""ko Agodo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okehi Local Government Area"","""",""ko Obeiba 2 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Olamaboro Local Government Area"",""ko Ogugu 1 Ward"",""ko Ogbofe Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"","""",""ko Iyamoye Igbopin Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"","""",""ko Ankpa Ward 2"",""85.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Olamaboro Local Government Area"",""ko Okpo Ward"",""ko Ogo-Okpo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Omala Local Government Area"",""ko Abejukolo 1 Ward"",""ko FSP Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"",""ko Dekina Ward"",""ko Udaba Dekina Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"","""",""ko Lafia Obessa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okehi Local Government Area"","""",""ko Oboreke Uvete II Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"",""ko Odu 2 Ward"",""ko Ajiolo Ojaji Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"",""ko Ejule Ward (Ofu)"",""ko Ejule Primary Health Centre (Ofu)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"",""ko Alu/Igbagun Ward"",""ko Odo-Amu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Ojoku 2 Ward"",""ko Okaba Maternity"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Okeneba Agassa Ward"",""ko Agassa Maternal and Child Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okehi Local Government Area"",""ko Okaito Ward"",""ko Omavi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"",""ko Ilai Okegi Ward"",""ko Ilai Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Oforachi 2 Ward"",""ko Ugbedomagu Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""ko Iluke Ward"",""ko Iluke Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Lokoja Ward A"",""ko Niger Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Bassa Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Ojoku 4 Ward"",""ko Awo-Efiga Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"","""",""ko Iboko Efaku Ward"",""50.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"",""ko Owoli - APA Ward"",""Ko Atta Palace Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"","""",""ko Idoji Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"","""",""ko Takete Otafun Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Bassa Local Government Area"",""ko Kpata Ward"",""ko Atakpa Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Bariki Ward"",""ko Amana Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"",""ko Emewe Ward"",""ko Emewe-Efopa Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Bassa Local Government Area"",""ko Gboloko Ward"",""ko Gboloko Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"",""ko Ayetoro Agrigbon Ward"",""ko Aiyetoro Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ajaokuta Local Government Area"",""ko Adogo Ward"",""ko Adogo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"",""ko Iyano Ward (Ibaji)"",""ko Iyano Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"",""ko Nagazi Ward"",""ko CSS School Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Dekina Local Government Area"",""60.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kogi Local Government Area"",""ko Kkf South East Ward"",""ko Okpareke Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"",""ko Ayah Ward (Ibaji)"",""ko Oji-Alah Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"","""",""ko Otutu Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Kabba/Bunu Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""ko Okedayo Ward"",""Ko Government Science Sch Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"","""",""ko Lokoja Ward B"",""100.0"""
